place,latitude,longitude
 Mehrauli Archaeological Park ,,
 Kingdom of Dreams ,28.46812985,77.06912641367134
" Mughal Gardens, Delhi ",28.61448995,77.19794496247428
 Rashtrapati Bhavan ,28.614359450000002,77.19958884029813
 Jama Masjid Delhi ,28.6506822,77.23296096363757
 Sarojini Market ,28.57693855,77.19624572486842
 Connaught Place ,28.6314022,77.2193791
 Connaught Place ,28.6314022,77.2193791
 Shopping Markets ,,
 ISKCON Temple Delhi ,28.5558548,77.2488354
 Khan Market ,28.5991626,77.2262302
 Paharganj ,28.6414989,77.2140607
 Birla Mandir Delhi ,28.6327513,77.1989712
 Lajpat Nagar ,28.56958,77.2385055
 Safdarjung Tomb ,28.5892861,77.2131643
 Purana Qila ,28.6091959,77.24411112406483
 Adventure Island ,,
 Pragati Maidan ,28.61684535,77.24534605191812
 Rajghat ,28.6406036,77.2495084
" National Museum, Delhi ",28.611803000000002,77.21928644481778
 Kuchesar ,28.6844826,77.9405357
 Crafts Museum ,,
 Tughlaqabad Fort ,28.5111925,77.2623265
 Teen Murti Bhavan ,28.60259435,77.19878110123034
 Rajpath ,28.6131403,77.2247644
 Sulabh International Museum of Toilets ,,
 Nicholson Cemetery ,,
 Iron Pillar ,28.5247493,77.1849651
 Nehru Memorial Museum and Library ,,
 Chhatarpur Mandir ,24.623403,79.49923548420169
 Marina Beach ,13.053275150000001,80.28328873013857
" Government Museum, Chennai ",13.0712808,80.25704332105965
 MGR Film City ,12.9935576,80.2470596
 Breezy Beach ,,
 Marundeeswarar Temple ,12.9850797,80.2594959
 Arignar Anna Zoological Park ,,
 Valluvar Kottam ,13.05383,80.2423007
 Ashtalakshmi Temple ,12.99253,80.2704204
 Connemara Public Library ,,
 Kolli Hills ,11.322125849999999,78.39351174329565
 Elliot's Beach ,12.9986312,80.2708137
 VGP Golden Beach ,,
 ISKCON (Hare Rama Hare Krishna) Temple ,,
 Vivekananda House ,17.3361245,78.5536151
 Akkarai Beach ,,
 Dakshinachitra Museum ,,
 Santhome Cathedral Basilica ,13.033588900000002,80.27778505375386
 Madras War Cemetery ,13.01429775,80.19437507434243
 Madras Crocodile Bank Trust ,,
 MGM Dizzee World ,12.82585705,80.2452821261002
 Shirdi Sai Baba Temple ,13.03269805,80.26473410980003
 Nettukuppam ,,
 Prakasam Salai ,11.6183804,79.5125058
 Thousand Lights Mosque ,13.0550988,80.25523899362173
 Fort St,18.9382417,72.8379803
 Chennai Sangamam ,13.0349987,80.2163485
 Royapuram Fishing Harbour ,,
 Santhome Church ,13.033588900000002,80.27778505375386
 Kapaleeswarar Temple ,13.0337415,80.2698427
 Mylapore ,13.0316473,80.2700166
 Express Avenue ,12.7383765,80.0020833578512
 Vadapalani Murugan Temple ,13.0529129,80.2136155
 T Nagar ,13.03969,80.23565
 Parthasarathy Temple ,10.5967227,76.04447207153075
 Parasailing in Chennai ,,
 Scuba Diving in Chennai ,,
 Camping in Chennai ,13.0067454,80.2706531
 Paragliding In Chennai ,,
 Surfing In Chennai ,,
 Paintball In Chennai ,,
 Rock climbing In Chennai ,,
 Jungle Safari In Chennai ,,
 Boating in Chennai ,,
 Anjaneyar Temple Nanganallur ,,
 Fishing In Chennai ,13.12836755,80.29722675455531
 Sivananda Yoga Vedanta Centers & Ashram ,,
 Thiruvanmiyur Beach ,12.9843379,80.2650051
 Neelankarai Beach ,12.9429599,80.2567939
 Santhome Beach ,13.0261627,80.27913129549485
 Pebble Beach ,18.66314475,73.70891030431349
 Palavakkam Beach ,12.9628576,80.2639776
 Kasimedu Beach ,,
 Kanyakumari Beach ,8.1681354,77.4285374
 Vivekananda Rock Memorial ,8.0783202,77.5549562
 Thanumalayan Temple - Sthanumalayan Kovil ,,
 Thiruvalluvar Statue ,8.0777532,77.5539955
 Kumari Amman Temple ,,
 Padmanabhapuram Palace ,8.250661099999999,77.32710097964441
 Lord Subramanya Temple ,,
 Wax Museum ,11.4043343,76.7149351
 Vattakottai Fort ,8.125758600000001,77.56497351019098
 Courtallam Falls ,8.9296643,77.2692338
 Sanguthurai Beach ,8.100211,77.4252729
 Chitharal Jain Monuments ,,
 Gandhi Mandapam ,13.0065031,80.2374064
 Mathur Aqueduct ,8.3361488,77.29450645
 Our Lady of Ransom Church ,8.0854698,77.55241487464974
 Sothavilai Beach ,,
" Sunset Point, Kanyakumari ",8.0778131,77.5557978
 Tsunami Monument ,,
 View Tower ,8.0780036,77.5462271
 St Xavier Church ,15.862583,74.5040573
 Adikesava Perumal Temple ,,
 Mandaikadu Bhagavathi Temple ,,
 Wind Farms ,,
 Shops and Stalls ,,
 Sabarmati Riverfront ,23.019284399999997,72.57363641605264
 Dada Hari Wav ,,
" Swaminarayan Temple, Ahmedabad ",22.9955398,72.6107331
 Sabarmati Ashram ,23.06016515,72.58063821550073
 Adalaj Step Well ,,
 Kankaria Lake ,23.00614335,72.59952118019814
 Manek Chawk ,,
 Modhera Sun Temple ,23.5834213,72.1330777
 Bhadra Fort ,23.0238245,72.58120917865162
" Jama Masjid, Ahmedabad ",23.023697249999998,72.58652297086695
 Auto World Vintage Car Museum ,,
 Hutheesing Jain Temple ,23.0408264,72.58966454084344
 Law Garden Night Market ,,
 Sidi Saiyyed Mosque ,,
 Calico Textile Museum ,23.05418,72.5924764
 Sardar Vallabhbhai Patel National Memorial ,,
 Jhulta Minar ,,
 Vaishno Devi Temple in Ahmedabad ,,
 Kamla Nehru Zoo ,22.700991950000002,75.88126887450889
 Ahmedabad Alpha One Mall ,,
 Lal Darwaja in Ahmedabad ,23.0241902,72.5785562
" ISKCON Temple, Ahmedabad ",23.02836555,72.50685652777801
 Banascraft ,,
 Law Garden ,23.02639675,72.56106645020441
 Kapasi Handicraft Emporium ,,
 Lalbhai Dalpatbhai Museum ,23.0331715,72.5498983
 Tomb of Ahmed Shah and Ahmed Shah's Mosque ,,
 R3 The Mall ,32.2456641,77.1896605
 Radhe Shopping Mall ,,
 Dada Bhagwan temple ,,
 Gujarat Science City ,23.077854,72.49479798780331
 Shree Camp Hanuman Mandir ,,
 Parimal Garden ,23.020403950000002,72.55605904190236
 Lothal ,22.522677,72.2493077
 Sarkhej Roza ,22.9920346,72.50502712318463
 Nehru Bridge ,23.0268988,72.5744221
 Vastrapur Lake ,23.038404049999997,72.52889497227329
 Kite Museum ,,
 Vechaar Utensils Museum ,22.9944376,72.5357319
 Sanskar Kendra ,23.0130948,72.5694038
 Vadla ,16.410935,81.2898106
 Ahmedabad One ,23.03973765,72.53197279761433
 Victoria Garden ,23.021195849999998,72.5789612961574
 Dhanvantari Garden ,23.00362535,72.55925842931563
 AUDA Garden ,23.10067455,72.53990027740673
 Usmanpura Garden ,23.0475584,72.56857825891822
